,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,VIP,CryoSleep,Europa,Mars,PSO J318.5-22,TRAPPIST-1e,S,Age,GroupSize,Transported
45,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0,21.0,3,True
46,970.0,0.0,180.0,0.0,64.0,0,0,0,1,0,1,0,21.0,2,False
47,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,1,0,19.0,2,True
48,790.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,35.0,1,False
49,0.0,112.0,0.0,1379.0,127.0,0,0,0,0,0,1,1,56.0,1,False
50,4.0,0.0,2.0,4683.0,0.0,0,0,0,0,0,1,1,0.0,1,False
51,0.0,0.0,1938.0,0.0,1.0,0,0,0,0,0,1,1,25.0,1,True
52,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,1,2.0,3,True
53,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,1,1,38.0,3,True
54,279.0,605.0,3374.0,286.0,3.0,0,0,1,0,0,1,1,27.0,3,True
55,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,1,36.0,1,False
56,45.0,1096.0,148.0,1377.0,1.0,0,0,0,0,0,1,1,22.0,1,False
57,0.0,592.0,0.0,17.0,25.0,0,0,0,0,0,1,1,62.0,1,False
58,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,1,1,15.0,2,True
59,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,1,1,33.0,2,True
60,1.0,153.0,197.0,0.0,460.0,0,0,0,0,0,1,0,62.0,1,False
61,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,1,0.0,3,True
62,1.0,258.0,446.0,0.0,0.0,0,0,0,0,0,1,1,18.0,3,True
63,1946.0,37.0,0.0,0.0,24.0,0,0,0,0,0,0,1,21.0,3,False
64,793.0,0.0,2.0,253.0,0.0,0,0,0,1,0,1,1,0.0,1,False
65,887.0,0.0,9.0,6.0,0.0,0,0,0,0,0,1,1,42.0,1,True
66,190.0,0.0,5.0,1.0,726.0,0,0,0,0,0,1,0,19.0,1,False
67,16.0,2165.0,0.0,0.0,52.0,0,0,0,0,0,1,0,17.0,1,False
68,0.0,1.0,0.0,0.0,1063.0,0,0,0,0,0,1,1,14.0,1,False
69,46.0,83.0,738.0,0.0,12.0,0,0,0,1,1,0,0,37.0,1,False
70,1.0,8397.0,0.0,0.0,506.0,0,0,1,0,0,1,1,42.0,1,True
71,147.0,0.0,1018.0,0.0,0.0,0,0,0,1,0,1,1,27.0,1,True
72,14.0,0.0,1295.0,0.0,0.0,0,0,0,1,0,1,0,28.0,1,True
73,0.0,5840.0,0.0,321.0,9654.0,0,0,1,0,0,1,1,38.0,1,False
74,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,1,13.0,1,False
75,7406.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,0,42.0,3,False
76,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,1,0,2.0,3,True
77,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,0,8.0,3,True
78,688.0,0.0,0.0,0.0,17.0,0,0,0,0,0,1,1,24.0,1,True
79,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,1,1,40.0,1,True
80,211.0,0.0,0.0,638.0,513.0,0,0,0,0,0,1,0,43.0,1,False
81,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,0,1,45.0,1,True
82,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,1,35.0,1,True
83,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,1,26.0,2,True
84,1.0,697.0,31.0,188.0,0.0,0,0,0,0,0,1,1,27.0,2,False
85,0.0,0.0,670.0,1.0,34.0,0,0,0,0,0,1,0,19.0,3,False
86,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0.0,3,True
87,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,3.0,3,True
88,0.0,1208.0,0.0,3.0,637.0,0,0,1,0,0,1,1,54.0,1,False
89,0.0,856.0,5.0,32.0,0.0,0,0,0,0,0,1,0,26.0,2,False
90,0.0,2811.0,957.0,0.0,87.0,0,0,0,0,0,1,0,26.0,2,True
91,311.0,427.0,526.0,37.0,0.0,0,0,0,0,1,0,0,23.0,2,False
92,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,2.0,2,True
93,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,1,1,31.0,1,True
94,0.0,0.0,0.0,830.0,91.0,0,0,0,0,0,1,1,18.0,1,False
95,0.0,0.0,0.0,0.0,17.0,0,0,0,0,0,1,1,24.0,3,True
96,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,9.0,3,True
97,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,1,6.0,3,False
98,0.0,0.0,570.0,2.0,131.0,0,1,0,0,0,1,0,27.0,1,False
99,1743.0,5.0,17.0,0.0,0.0,0,0,0,1,0,1,1,21.0,1,False
100,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,1,23.0,3,False
101,562.0,0.0,326.0,0.0,0.0,0,0,0,0,0,1,1,31.0,3,False
102,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0.0,3,True
103,0.0,410.0,6.0,3929.0,764.0,0,0,1,0,0,1,0,32.0,4,False
104,0.0,331.0,0.0,0.0,1687.0,0,1,1,0,0,1,0,40.0,4,False
105,2209.0,11418.0,0.0,1868.0,445.0,0,0,1,0,0,1,0,42.0,4,True
106,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,1,0,28.0,4,True
107,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,1,1,29.0,1,True
108,0.0,2537.0,87.0,17.0,13.0,1,0,1,0,0,0,1,48.0,1,True
109,0.0,0.0,804.0,0.0,0.0,0,0,0,0,0,1,0,64.0,1,True
110,82.0,157.0,429.0,238.0,1.0,0,0,0,0,0,1,1,27.0,1,False
111,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,1,0,26.0,1,True
112,1.0,2223.0,0.0,12.0,404.0,0,0,1,0,0,1,0,33.0,1,True
113,0.0,2344.0,0.0,65.0,6898.0,0,0,1,0,0,1,0,39.0,2,False
114,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,1,0,13.0,2,True
115,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,1,0,24.0,1,True
116,0.0,0.0,0.0,699.0,74.0,0,0,0,0,0,1,1,29.0,1,False
117,55.0,597.0,49.0,0.0,1.0,0,0,0,0,0,1,0,18.0,1,False
118,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,1,1,67.0,1,True
119,701.0,0.0,296.0,0.0,25.0,0,0,0,1,0,1,1,35.0,1,False
120,2353.0,334.0,9.0,316.0,2.0,1,0,0,1,0,1,1,61.0,2,False
121,2103.0,6.0,0.0,0.0,0.0,0,0,0,1,0,1,1,45.0,2,False
122,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,1,22.0,1,True
123,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,1,1,19.0,2,True
124,2738.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,1,36.0,2,False
125,0.0,14.0,730.0,0.0,0.0,0,0,0,0,0,1,0,19.0,1,True
126,97.0,418.0,126.0,25.0,55.0,0,0,0,0,1,0,1,47.0,1,False
127,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,13.0,2,True
128,0.0,22.0,0.0,564.0,207.0,0,0,0,0,0,1,0,34.0,2,False
129,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,1,35.0,1,True
130,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,24.0,2,True
131,440.0,0.0,0.0,0.0,462.0,0,0,0,0,0,1,0,26.0,2,False
132,0.0,0.0,97.0,0.0,0.0,0,0,0,1,0,1,0,31.0,1,False
133,0.0,420.0,210.0,0.0,0.0,0,0,0,0,0,1,1,20.0,1,True
134,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,56.0,1,False
135,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,1,50.0,1,True
136,1072.0,0.0,10.0,0.0,76.0,0,0,0,1,0,1,0,42.0,1,False
137,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0.0,1,True
138,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,38.0,1,False
139,0.0,0.0,0.0,0.0,607.0,0,0,0,0,0,1,0,41.0,1,False
140,4119.0,0.0,0.0,0.0,61.0,0,0,0,0,0,1,0,22.0,1,False
141,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,1,0,26.0,2,True
142,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,1,0,17.0,2,True
143,50.0,1688.0,0.0,0.0,135.0,0,0,0,0,0,1,1,57.0,2,True
144,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,1,17.0,2,False
145,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,1,0,35.0,1,True
146,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,1,1,13.0,2,True
147,1365.0,0.0,48.0,22.0,137.0,0,0,0,1,0,1,1,27.0,2,False
148,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,31.0,1,False
149,0.0,0.0,0.0,221.0,567.0,0,0,0,0,0,1,1,24.0,1,False
150,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,1,19.0,1,True
151,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,32.0,1,True
152,0.0,985.0,0.0,5.0,0.0,0,1,0,0,0,1,1,58.0,1,True
153,287.0,0.0,16.0,115.0,175.0,0,0,0,0,0,0,0,21.0,1,False
154,0.0,10346.0,1.0,14970.0,2111.0,0,0,1,0,0,1,1,38.0,1,False
155,3414.0,0.0,161.0,28.0,119.0,0,0,0,1,0,1,1,38.0,1,False
156,1.0,219.0,673.0,2.0,11.0,0,0,0,0,0,1,0,19.0,3,True
157,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0.0,3,False
158,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,3.0,3,True
159,0.0,0.0,3.0,299.0,92.0,0,0,0,0,0,1,0,20.0,1,False
160,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,1,0,24.0,1,True
161,17.0,146.0,426.0,0.0,232.0,0,0,0,0,0,1,1,37.0,1,True
162,62.0,0.0,0.0,0.0,956.0,0,0,0,0,0,1,0,25.0,1,False
163,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,1,56.0,1,True
164,84.0,3.0,401.0,202.0,98.0,0,0,0,0,0,0,0,49.0,1,False
165,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,11.0,1,False
166,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,1.0,3,True
167,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,8.0,3,False
168,0.0,0.0,10.0,898.0,0.0,0,0,0,0,0,1,0,39.0,3,False
169,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,1,0,2.0,3,True
170,0.0,0.0,8.0,1072.0,0.0,0,0,0,1,0,1,0,23.0,3,False
171,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0.0,3,True
172,406.0,0.0,867.0,0.0,0.0,0,0,0,1,0,1,0,39.0,1,True
173,1052.0,0.0,719.0,0.0,7.0,0,0,0,1,1,0,0,25.0,1,False
174,0.0,972.0,0.0,795.0,575.0,0,0,1,0,0,1,0,36.0,1,False
175,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0,52.0,1,True
176,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,1,18.0,1,False
177,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,15.0,1,True
178,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,1,1,35.0,2,True
179,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,1,1,47.0,2,True
180,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,45.0,2,True
181,0.0,2433.0,0.0,878.0,443.0,0,0,1,0,0,0,0,0.0,2,True
182,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,1,1,51.0,1,True
183,0.0,2.0,66.0,0.0,705.0,0,0,0,0,0,1,1,29.0,1,False
184,2.0,1720.0,12.0,1125.0,122.0,0,0,1,0,0,0,1,0.0,1,True
185,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0,19.0,1,False
186,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,24.0,1,True
187,902.0,1.0,137.0,0.0,0.0,0,0,0,1,0,1,0,29.0,3,True
188,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,1,0,11.0,3,True
189,848.0,0.0,307.0,182.0,0.0,0,0,0,1,0,1,0,17.0,3,False
190,192.0,0.0,0.0,51.0,739.0,0,0,0,0,0,1,0,13.0,2,False
191,147.0,188.0,0.0,10.0,387.0,0,0,0,0,0,1,0,35.0,2,False
192,367.0,281.0,0.0,0.0,146.0,0,0,0,0,0,1,0,21.0,1,False
193,0.0,56.0,0.0,0.0,1918.0,0,0,0,0,0,0,1,21.0,1,False
194,1517.0,0.0,0.0,27.0,0.0,0,0,0,0,0,1,0,38.0,1,False
195,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,19.0,1,True
196,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,2.0,7,True
197,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0.0,7,True
198,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,13.0,7,False
199,122.0,84.0,0.0,0.0,0.0,0,0,0,0,0,1,0,25.0,7,False
200,0.0,3.0,0.0,0.0,1099.0,0,0,0,0,0,1,0,16.0,7,False
201,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0,7,False
202,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,15.0,7,True
203,2237.0,0.0,119.0,0.0,0.0,0,0,0,1,0,0,1,21.0,7,False
204,1215.0,80.0,1.0,2.0,0.0,0,0,0,1,0,1,1,23.0,7,False
205,1933.0,12.0,188.0,1.0,0.0,0,0,0,1,0,1,1,33.0,7,False
206,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,1,1,21.0,7,True
207,1230.0,0.0,301.0,43.0,1023.0,0,0,0,1,0,1,1,41.0,7,False
208,915.0,0.0,221.0,234.0,0.0,0,0,0,1,0,1,1,16.0,7,False
209,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,1,1,42.0,7,False
210,1406.0,0.0,0.0,11.0,0.0,0,0,0,1,0,1,1,20.0,3,False
211,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,1,1,24.0,3,True
212,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,1,1,16.0,3,True
213,0.0,2.0,665.0,0.0,9.0,0,0,0,0,0,1,1,21.0,1,False
214,181.0,0.0,5.0,1634.0,0.0,1,0,0,1,0,1,1,32.0,1,False
215,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0,58.0,1,True
216,4.0,7.0,0.0,713.0,79.0,0,0,0,0,0,1,1,24.0,1,False
217,85.0,0.0,1.0,1720.0,0.0,0,0,0,1,0,1,1,30.0,1,False
218,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,1,27.0,1,False
219,56.0,0.0,256.0,1438.0,0.0,0,0,0,1,0,1,1,32.0,1,False
220,0.0,888.0,0.0,0.0,0.0,0,0,0,0,0,1,0,43.0,1,False
221,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,1,0,42.0,1,True
222,637.0,0.0,0.0,92.0,319.0,0,0,0,1,0,1,1,37.0,1,False
223,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,1,0,35.0,1,True
224,0.0,1249.0,0.0,4812.0,1116.0,0,1,1,0,0,0,0,33.0,1,False
225,313.0,1.0,691.0,283.0,0.0,0,0,0,0,0,1,1,18.0,1,False
226,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,1,21.0,1,False
227,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,1,1,43.0,2,True
228,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,14.0,2,True
229,0.0,3571.0,0.0,0.0,7.0,0,0,1,0,0,0,0,46.0,2,True
230,0.0,86.0,796.0,584.0,10912.0,0,0,1,0,0,1,0,33.0,2,False
231,2947.0,0.0,287.0,27.0,0.0,0,0,0,1,0,1,0,21.0,1,False
232,0.0,1.0,0.0,8620.0,1063.0,0,0,1,0,0,1,1,33.0,1,False
233,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,1,47.0,1,False
234,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,54.0,1,True
235,335.0,695.0,541.0,0.0,0.0,0,0,0,0,0,1,0,30.0,1,False
236,272.0,615.0,0.0,0.0,1.0,0,0,0,0,0,1,0,29.0,1,False
237,702.0,172.0,408.0,2.0,6.0,0,0,0,0,0,1,0,21.0,1,True
238,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,1,1,24.0,1,True
239,1664.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1,21.0,2,False
240,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,1,1,60.0,2,True
241,0.0,0.0,313.0,299.0,92.0,0,0,0,0,0,1,1,22.0,1,False
242,0.0,4810.0,0.0,981.0,2054.0,0,0,1,0,0,1,1,26.0,1,False
243,66.0,29.0,0.0,0.0,803.0,0,0,0,0,0,1,0,26.0,1,False
244,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,28.0,1,True
245,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,1,1,39.0,1,True
246,118.0,0.0,0.0,754.0,1.0,0,0,0,0,0,1,1,13.0,1,False
247,0.0,231.0,592.0,0.0,0.0,0,0,0,0,0,0,1,47.0,1,True
248,0.0,25.0,128.0,0.0,1240.0,0,0,0,0,0,1,0,63.0,1,False
249,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,1,0.0,1,True
250,44.0,2390.0,0.0,53.0,0.0,0,0,0,0,0,0,0,50.0,1,True
251,0.0,0.0,0.0,888.0,0.0,0,0,0,0,0,1,0,35.0,2,False
252,0.0,97.0,0.0,14.0,333.0,0,0,0,0,0,1,0,45.0,2,False
253,0.0,0.0,2078.0,0.0,0.0,0,0,0,0,0,1,0,19.0,1,True
254,0.0,918.0,0.0,0.0,0.0,0,0,0,0,0,1,1,21.0,1,True
255,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0,29.0,2,True
256,146.0,654.0,1.0,0.0,2.0,0,0,0,0,0,1,0,22.0,2,True
257,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,1,0,14.0,2,True
258,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,42.0,2,True
259,3.0,1281.0,29.0,162.0,13.0,0,0,0,0,0,0,0,57.0,1,False
260,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,39.0,2,True
261,0.0,587.0,32.0,6.0,1460.0,0,0,1,0,0,1,0,28.0,2,False
262,0.0,0.0,0.0,0.0,828.0,0,0,0,0,0,0,1,19.0,1,False
263,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,1,19.0,1,True
264,0.0,4458.0,0.0,1157.0,262.0,0,0,1,0,0,0,1,26.0,4,True
265,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,1,1,17.0,4,True
266,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,1,1,43.0,4,True
267,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,1,9.0,4,True
268,0.0,6500.0,88.0,1090.0,0.0,0,0,1,0,0,1,1,40.0,1,True
269,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,1,1,50.0,1,True
270,90.0,2.0,1324.0,17.0,0.0,0,0,0,0,0,1,0,24.0,1,True
271,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,57.0,1,True
272,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,1,16.0,1,False
273,0.0,0.0,15.0,0.0,1370.0,0,0,0,0,0,1,0,23.0,1,False
274,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,1,23.0,1,True
275,0.0,422.0,0.0,1851.0,5166.0,0,0,1,0,0,1,1,28.0,1,False
276,0.0,584.0,0.0,20.0,2469.0,0,0,1,0,0,0,0,23.0,1,False
277,368.0,175.0,259.0,1.0,101.0,0,0,0,0,0,1,1,23.0,1,False
278,0.0,0.0,1359.0,0.0,0.0,0,0,0,0,0,1,1,18.0,1,True
279,1194.0,0.0,157.0,6.0,0.0,0,0,0,0,0,1,1,18.0,1,False
280,0.0,230.0,0.0,4476.0,241.0,0,0,1,0,0,1,1,67.0,1,False
281,7.0,540.0,1.0,0.0,4.0,0,0,0,0,1,0,0,60.0,4,True
282,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0.0,4,True
283,331.0,0.0,0.0,318.0,0.0,0,0,0,0,0,0,0,49.0,4,True
284,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,4,True
285,386.0,0.0,74.0,0.0,1330.0,0,0,0,0,0,0,0,26.0,1,False
286,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,1,35.0,1,True
287,0.0,2628.0,0.0,170.0,0.0,0,0,1,0,0,1,1,24.0,2,True
288,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,1,1,20.0,2,True
289,0.0,2.0,0.0,0.0,0.0,0,0,0,0,0,1,1,18.0,2,False
290,0.0,5.0,3.0,0.0,0.0,0,0,0,0,0,1,1,21.0,2,False
291,1018.0,0.0,209.0,0.0,0.0,1,0,0,0,0,1,1,59.0,1,False
292,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,1,13.0,1,False
293,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,43.0,1,False
294,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,1,29.0,1,False
295,17.0,0.0,784.0,0.0,2.0,0,0,0,0,0,1,1,19.0,1,True
296,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,1,2.0,3,True
297,247.0,4651.0,0.0,46.0,202.0,0,0,1,0,0,1,1,32.0,3,True
298,443.0,317.0,0.0,148.0,1260.0,0,0,1,0,0,1,1,33.0,3,False
299,0.0,0.0,251.0,0.0,552.0,0,0,0,0,0,1,0,25.0,1,False
300,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,29.0,1,True
301,5715.0,2.0,211.0,1476.0,0.0,0,0,0,1,0,1,1,29.0,1,False
302,695.0,1.0,16.0,0.0,0.0,0,0,0,0,0,1,0,44.0,1,False
303,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,2.0,3,True
304,417.0,349.0,634.0,3.0,1057.0,0,0,0,1,0,1,1,19.0,3,True
305,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0.0,3,True
306,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,1,18.0,1,True
307,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,1,38.0,1,True
308,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0,5.0,1,False
309,121.0,0.0,0.0,274.0,907.0,0,0,0,0,1,0,0,31.0,1,False
310,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,1,1,30.0,1,False
