,Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Group,Group_enc,GroupSize
30,34.0,22.0,6073.0,0.0,1438.0,328.0,0,0026,0.503666427030913,1
31,43.0,1125.0,0.0,136.0,48.0,0.0,0,0028,0.503666427030913,1
32,32.0,0.0,850.0,81.0,437.0,453.0,0,0030,0.5035950532067874,1
33,47.0,214.0,0.0,1411.0,0.0,1229.0,1,0031,0.6081577055507208,3
34,2.0,0.0,0.0,0.0,0.0,0.0,1,0031,0.6081013577948322,3
35,20.0,0.0,0.0,1750.0,990.0,0.0,1,0031,0.6081013577948322,3
36,28.0,0.0,0.0,0.0,0.0,0.0,1,0034,0.503666427030913,1
37,23.0,784.0,964.0,0.0,951.0,0.0,0,0035,0.503666427030913,1
38,15.0,0.0,492.0,48.0,20.0,401.0,0,0036,0.5035950532067874,1
39,20.0,554.0,195.0,0.0,2606.0,0.0,0,0038,0.503666427030913,1
40,30.0,0.0,0.0,0.0,0.0,0.0,0,0039,0.503666427030913,1
41,17.0,0.0,0.0,0.0,0.0,0.0,1,0041,0.5035950532067874,1
42,45.0,0.0,164.0,45.0,2511.0,855.0,0,0043,0.503666427030913,1
43,55.0,0.0,0.0,0.0,0.0,0.0,0,0044,0.6081013577948322,3
44,4.0,0.0,0.0,0.0,0.0,0.0,1,0044,0.5028381999000954,3
45,21.0,0.0,0.0,0.0,0.0,0.0,1,0044,0.502894547655984,3
46,21.0,970.0,0.0,180.0,0.0,64.0,0,0045,0.5620586120860998,2
47,19.0,0.0,0.0,0.0,0.0,0.0,1,0045,0.4443485763589301,2
48,35.0,790.0,0.0,0.0,0.0,0.0,0,0050,0.5035950532067874,1
49,56.0,0.0,112.0,0.0,1379.0,127.0,0,0051,0.503666427030913,1
50,0.0,4.0,0.0,2.0,4683.0,0.0,0,0052,0.5035950532067874,1
51,25.0,0.0,0.0,1938.0,0.0,1.0,1,0053,0.5035950532067874,1
52,2.0,0.0,0.0,0.0,0.0,0.0,1,0056,0.6081013577948322,3
53,38.0,0.0,0.0,0.0,0.0,0.0,1,0056,0.6081013577948322,3
54,27.0,279.0,605.0,3374.0,286.0,3.0,1,0056,0.6081013577948322,3
55,36.0,0.0,0.0,0.0,0.0,0.0,0,0058,0.503666427030913,1
56,22.0,45.0,1096.0,148.0,1377.0,1.0,0,0061,0.5035950532067874,1
57,62.0,0.0,592.0,0.0,17.0,25.0,0,0062,0.5035950532067874,1
58,15.0,0.0,0.0,0.0,0.0,0.0,1,0064,0.5619956351824595,2
59,33.0,0.0,0.0,0.0,0.0,0.0,1,0064,0.5619956351824595,2
60,62.0,1.0,153.0,197.0,0.0,460.0,0,0066,0.503666427030913,1
61,0.0,0.0,0.0,0.0,0.0,0.0,1,0067,0.5028381999000954,3
62,18.0,1.0,258.0,446.0,0.0,0.0,1,0067,0.502894547655984,3
63,21.0,1946.0,37.0,0.0,0.0,24.0,0,0067,0.6081577055507208,3
64,0.0,793.0,0.0,2.0,253.0,0.0,0,0068,0.503666427030913,1
65,42.0,887.0,0.0,9.0,6.0,0.0,1,0069,0.503666427030913,1
66,19.0,190.0,0.0,5.0,1.0,726.0,0,0070,0.5035950532067874,1
67,17.0,16.0,2165.0,0.0,0.0,52.0,0,0071,0.5035950532067874,1
68,14.0,0.0,1.0,0.0,0.0,1063.0,0,0072,0.503666427030913,1
69,37.0,46.0,83.0,738.0,0.0,12.0,0,0073,0.5035950532067874,1
70,42.0,1.0,8397.0,0.0,0.0,506.0,1,0074,0.5035950532067874,1
71,27.0,147.0,0.0,1018.0,0.0,0.0,1,0076,0.5035950532067874,1
72,28.0,14.0,0.0,1295.0,0.0,0.0,1,0077,0.503666427030913,1
73,38.0,0.0,5840.0,0.0,321.0,9654.0,0,0078,0.5035950532067874,1
74,13.0,0.0,0.0,0.0,0.0,0.0,0,0081,0.503666427030913,1
75,42.0,7406.0,0.0,0.0,0.0,0.0,0,0082,0.6081013577948322,3
76,2.0,0.0,0.0,0.0,0.0,0.0,1,0082,0.502894547655984,3
77,8.0,0.0,0.0,0.0,0.0,0.0,1,0082,0.5028381999000954,3
78,24.0,688.0,0.0,0.0,0.0,17.0,1,0084,0.503666427030913,1
79,40.0,0.0,0.0,0.0,0.0,0.0,1,0085,0.5035950532067874,1
80,43.0,211.0,0.0,0.0,638.0,513.0,0,0086,0.503666427030913,1
81,45.0,0.0,0.0,0.0,0.0,0.0,1,0088,0.5035950532067874,1
82,35.0,0.0,0.0,0.0,0.0,0.0,1,0090,0.5035950532067874,1
83,26.0,0.0,0.0,0.0,0.0,0.0,1,0091,0.503666427030913,2
84,27.0,1.0,697.0,31.0,188.0,0.0,0,0091,0.503666427030913,2
85,19.0,0.0,0.0,670.0,1.0,34.0,0,0092,0.5620586120860998,3
86,0.0,0.0,0.0,0.0,0.0,0.0,1,0092,0.5028381999000954,3
87,3.0,0.0,0.0,0.0,0.0,0.0,1,0092,0.5620586120860998,3
88,54.0,0.0,1208.0,0.0,3.0,637.0,0,0097,0.5035950532067874,1
89,26.0,0.0,856.0,5.0,32.0,0.0,0,0098,0.5619956351824595,2
90,26.0,0.0,2811.0,957.0,0.0,87.0,1,0098,0.4444115532625703,2
91,23.0,311.0,427.0,526.0,37.0,0.0,0,0099,0.5035950532067874,2
92,2.0,0.0,0.0,0.0,0.0,0.0,1,0099,0.5035950532067874,2
93,31.0,0.0,0.0,0.0,0.0,0.0,1,0101,0.503666427030913,1
94,18.0,0.0,0.0,0.0,830.0,91.0,0,0102,0.503666427030913,1
95,24.0,0.0,0.0,0.0,0.0,17.0,1,0103,0.5028381999000954,3
96,9.0,0.0,0.0,0.0,0.0,0.0,1,0103,0.5028381999000954,3
97,6.0,0.0,0.0,0.0,0.0,0.0,0,0103,0.6081013577948322,3
98,27.0,0.0,0.0,570.0,2.0,131.0,0,0105,0.503666427030913,1
99,21.0,1743.0,5.0,17.0,0.0,0.0,0,0107,0.5035950532067874,1
100,23.0,0.0,0.0,0.0,0.0,0.0,0,0108,0.502894547655984,3
101,31.0,562.0,0.0,326.0,0.0,0.0,0,0108,0.5028381999000954,3
102,0.0,0.0,0.0,0.0,0.0,0.0,1,0108,0.3976313897612471,3
103,32.0,0.0,410.0,6.0,3929.0,764.0,0,0110,0.550186942766753,4
104,40.0,0.0,331.0,0.0,0.0,1687.0,0,0110,0.5502379240696997,4
105,42.0,2209.0,11418.0,0.0,1868.0,445.0,1,0110,0.45499982883160456,4
106,28.0,0.0,0.0,0.0,0.0,0.0,1,0110,0.4549488475286577,4
107,29.0,0.0,0.0,0.0,0.0,0.0,1,0111,0.503666427030913,1
108,48.0,0.0,2537.0,87.0,17.0,13.0,1,0112,0.5035950532067874,1
109,64.0,0.0,0.0,804.0,0.0,0.0,1,0113,0.503666427030913,1
110,27.0,82.0,157.0,429.0,238.0,1.0,0,0114,0.503666427030913,1
111,26.0,0.0,0.0,0.0,0.0,0.0,1,0115,0.5035950532067874,1
112,33.0,1.0,2223.0,0.0,12.0,404.0,1,0116,0.5035950532067874,1
113,39.0,0.0,2344.0,0.0,65.0,6898.0,0,0119,0.5619956351824595,2
114,13.0,0.0,0.0,0.0,0.0,0.0,1,0119,0.4444115532625703,2
115,24.0,0.0,0.0,0.0,0.0,0.0,1,0120,0.503666427030913,1
116,29.0,0.0,0.0,0.0,699.0,74.0,0,0122,0.5035950532067874,1
117,18.0,55.0,597.0,49.0,0.0,1.0,0,0123,0.5035950532067874,1
118,67.0,0.0,0.0,0.0,0.0,0.0,1,0126,0.5035950532067874,1
119,35.0,701.0,0.0,296.0,0.0,25.0,0,0127,0.503666427030913,1
120,61.0,2353.0,334.0,9.0,316.0,2.0,0,0128,0.4443485763589301,2
121,45.0,2103.0,6.0,0.0,0.0,0.0,0,0128,0.4443485763589301,2
122,22.0,0.0,0.0,0.0,0.0,0.0,1,0129,0.5035950532067874,1
123,19.0,0.0,0.0,0.0,0.0,0.0,1,0133,0.4443485763589301,2
124,36.0,2738.0,0.0,0.0,0.0,0.0,0,0133,0.5619956351824595,2
125,19.0,0.0,14.0,730.0,0.0,0.0,1,0134,0.5035950532067874,1
126,47.0,97.0,418.0,126.0,25.0,55.0,0,0136,0.503666427030913,1
127,13.0,0.0,0.0,0.0,0.0,0.0,1,0138,0.4444115532625703,2
128,34.0,0.0,22.0,0.0,564.0,207.0,0,0138,0.5620586120860998,2
129,35.0,0.0,0.0,0.0,0.0,0.0,1,0139,0.5035950532067874,1
130,24.0,0.0,0.0,0.0,0.0,0.0,1,0140,0.4443485763589301,2
131,26.0,440.0,0.0,0.0,0.0,462.0,0,0140,0.5620586120860998,2
132,31.0,0.0,0.0,97.0,0.0,0.0,0,0141,0.503666427030913,1
133,20.0,0.0,420.0,210.0,0.0,0.0,1,0144,0.5035950532067874,1
134,56.0,0.0,0.0,0.0,0.0,0.0,0,0146,0.5035950532067874,1
135,50.0,0.0,0.0,0.0,0.0,0.0,1,0147,0.503666427030913,1
136,42.0,1072.0,0.0,10.0,0.0,76.0,0,0148,0.5035950532067874,1
137,0.0,0.0,0.0,0.0,0.0,0.0,1,0149,0.5035950532067874,1
138,38.0,0.0,0.0,0.0,0.0,0.0,0,0151,0.503666427030913,1
139,41.0,0.0,0.0,0.0,0.0,607.0,0,0152,0.503666427030913,1
140,22.0,4119.0,0.0,0.0,0.0,61.0,0,0160,0.5035950532067874,1
141,26.0,0.0,0.0,0.0,0.0,0.0,1,0163,0.503666427030913,2
142,17.0,0.0,0.0,0.0,0.0,0.0,1,0163,0.503666427030913,2
143,57.0,50.0,1688.0,0.0,0.0,135.0,1,0164,0.4444115532625703,2
144,17.0,0.0,0.0,0.0,0.0,0.0,0,0164,0.5619956351824595,2
145,35.0,0.0,0.0,0.0,0.0,0.0,1,0165,0.503666427030913,1
146,13.0,0.0,0.0,0.0,0.0,0.0,1,0167,0.4443485763589301,2
147,27.0,1365.0,0.0,48.0,22.0,137.0,0,0167,0.5620586120860998,2
148,31.0,0.0,0.0,0.0,0.0,0.0,0,0169,0.5035950532067874,1
149,24.0,0.0,0.0,0.0,221.0,567.0,0,0170,0.5035950532067874,1
150,19.0,0.0,0.0,0.0,0.0,0.0,1,0171,0.5035950532067874,1
151,32.0,0.0,0.0,0.0,0.0,0.0,1,0172,0.5035950532067874,1
152,58.0,0.0,985.0,0.0,5.0,0.0,1,0173,0.5035950532067874,1
153,21.0,287.0,0.0,16.0,115.0,175.0,0,0174,0.5035950532067874,1
154,38.0,0.0,10346.0,1.0,14970.0,2111.0,0,0177,0.5035950532067874,1
155,38.0,3414.0,0.0,161.0,28.0,119.0,0,0178,0.5035950532067874,1
156,19.0,1.0,219.0,673.0,2.0,11.0,1,0179,0.502894547655984,3
157,0.0,0.0,0.0,0.0,0.0,0.0,0,0179,0.6081013577948322,3
158,3.0,0.0,0.0,0.0,0.0,0.0,1,0179,0.5028381999000954,3
159,20.0,0.0,0.0,3.0,299.0,92.0,0,0181,0.5035950532067874,1
160,24.0,0.0,0.0,0.0,0.0,0.0,1,0182,0.503666427030913,1
161,37.0,17.0,146.0,426.0,0.0,232.0,1,0183,0.5035950532067874,1
162,25.0,62.0,0.0,0.0,0.0,956.0,0,0186,0.503666427030913,1
163,56.0,0.0,0.0,0.0,0.0,0.0,1,0188,0.503666427030913,1
164,49.0,84.0,3.0,401.0,202.0,98.0,0,0189,0.503666427030913,1
165,11.0,0.0,0.0,0.0,0.0,0.0,0,0190,0.503666427030913,1
166,1.0,0.0,0.0,0.0,0.0,0.0,1,0192,0.39757504200535854,3
167,8.0,0.0,0.0,0.0,0.0,0.0,0,0192,0.5028381999000954,3
168,39.0,0.0,0.0,10.0,898.0,0.0,0,0192,0.5028381999000954,3
169,2.0,0.0,0.0,0.0,0.0,0.0,1,0193,0.502894547655984,3
170,23.0,0.0,0.0,8.0,1072.0,0.0,0,0193,0.6081013577948322,3
171,0.0,0.0,0.0,0.0,0.0,0.0,1,0193,0.502894547655984,3
172,39.0,406.0,0.0,867.0,0.0,0.0,1,0195,0.503666427030913,1
173,25.0,1052.0,0.0,719.0,0.0,7.0,0,0196,0.503666427030913,1
174,36.0,0.0,972.0,0.0,795.0,575.0,0,0197,0.5035950532067874,1
175,52.0,0.0,0.0,0.0,0.0,0.0,1,0198,0.503666427030913,1
176,18.0,0.0,0.0,0.0,0.0,0.0,0,0199,0.5035950532067874,1
177,15.0,0.0,0.0,0.0,0.0,0.0,1,0200,0.5035950532067874,1
178,35.0,0.0,0.0,0.0,0.0,0.0,1,0201,0.5619956351824595,2
179,47.0,0.0,0.0,0.0,0.0,0.0,1,0201,0.5619956351824595,2
180,45.0,0.0,0.0,0.0,0.0,0.0,1,0202,0.5619956351824595,2
181,0.0,0.0,2433.0,0.0,878.0,443.0,1,0202,0.5620586120860998,2
182,51.0,0.0,0.0,0.0,0.0,0.0,1,0203,0.503666427030913,1
183,29.0,0.0,2.0,66.0,0.0,705.0,0,0205,0.5035950532067874,1
184,0.0,2.0,1720.0,12.0,1125.0,122.0,1,0206,0.503666427030913,1
185,19.0,0.0,0.0,0.0,0.0,0.0,0,0207,0.503666427030913,1
186,24.0,0.0,0.0,0.0,0.0,0.0,1,0210,0.503666427030913,1
187,29.0,902.0,1.0,137.0,0.0,0.0,1,0211,0.502894547655984,3
188,11.0,0.0,0.0,0.0,0.0,0.0,1,0211,0.5028381999000954,3
189,17.0,848.0,0.0,307.0,182.0,0.0,0,0211,0.6081013577948322,3
190,13.0,192.0,0.0,0.0,51.0,739.0,0,0212,0.4444115532625703,2
191,35.0,147.0,188.0,0.0,10.0,387.0,0,0212,0.4444115532625703,2
192,21.0,367.0,281.0,0.0,0.0,146.0,0,0213,0.503666427030913,1
193,21.0,0.0,56.0,0.0,0.0,1918.0,0,0216,0.5035950532067874,1
194,38.0,1517.0,0.0,0.0,27.0,0.0,0,0217,0.503666427030913,1
195,19.0,0.0,0.0,0.0,0.0,0.0,1,0219,0.503666427030913,1
196,2.0,0.0,0.0,0.0,0.0,0.0,1,0220,0.4621998562185478,7
197,0.0,0.0,0.0,0.0,0.0,0.0,1,0220,0.4621570319240725,7
198,13.0,0.0,0.0,0.0,0.0,0.0,0,0220,0.4621570319240725,7
199,25.0,122.0,84.0,0.0,0.0,0.0,0,0220,0.5020369039060628,7
200,16.0,0.0,3.0,0.0,0.0,1099.0,0,0220,0.4621998562185478,7
201,1.0,0.0,0.0,0.0,0.0,0.0,0,0220,0.4621570319240725,7
202,15.0,0.0,0.0,0.0,0.0,0.0,1,0220,0.4621570319240725,7
203,21.0,2237.0,0.0,119.0,0.0,0.0,0,0221,0.30215703192407245,7
204,23.0,1215.0,80.0,1.0,2.0,0.0,0,0221,0.3821998562185478,7
205,33.0,1933.0,12.0,188.0,1.0,0.0,0,0221,0.38215703192407247,7
206,21.0,0.0,0.0,0.0,0.0,0.0,1,0221,0.30215703192407245,7
207,41.0,1230.0,0.0,301.0,43.0,1023.0,0,0221,0.38215703192407247,7
208,16.0,915.0,0.0,221.0,234.0,0.0,0,0221,0.3821998562185478,7
209,42.0,0.0,0.0,0.0,0.0,0.0,0,0221,0.3538887557579147,7
210,20.0,1406.0,0.0,0.0,11.0,0.0,0,0222,0.5035950532067874,3
211,24.0,0.0,0.0,0.0,0.0,0.0,1,0222,0.5035950532067874,3
212,16.0,0.0,0.0,0.0,0.0,0.0,1,0222,0.5035950532067874,3
213,21.0,0.0,2.0,665.0,0.0,9.0,0,0223,0.503666427030913,1
214,32.0,181.0,0.0,5.0,1634.0,0.0,0,0224,0.503666427030913,1
215,58.0,0.0,0.0,0.0,0.0,0.0,1,0225,0.5035950532067874,1
216,24.0,4.0,7.0,0.0,713.0,79.0,0,0229,0.503666427030913,1
217,30.0,85.0,0.0,1.0,1720.0,0.0,0,0231,0.5035950532067874,1
218,27.0,0.0,0.0,0.0,0.0,0.0,0,0232,0.5035950532067874,1
219,32.0,56.0,0.0,256.0,1438.0,0.0,0,0233,0.5035950532067874,1
220,43.0,0.0,888.0,0.0,0.0,0.0,0,0234,0.5035950532067874,1
221,42.0,0.0,0.0,0.0,0.0,0.0,1,0237,0.503666427030913,1
222,37.0,637.0,0.0,0.0,92.0,319.0,0,0239,0.503666427030913,1
223,35.0,0.0,0.0,0.0,0.0,0.0,1,0240,0.503666427030913,1
224,33.0,0.0,1249.0,0.0,4812.0,1116.0,0,0241,0.5035950532067874,1
225,18.0,313.0,1.0,691.0,283.0,0.0,0,0242,0.503666427030913,1
226,21.0,0.0,0.0,0.0,0.0,0.0,0,0243,0.5035950532067874,1
227,43.0,0.0,0.0,0.0,0.0,0.0,1,0244,0.5620586120860998,2
228,14.0,0.0,0.0,0.0,0.0,0.0,1,0244,0.5619956351824595,2
229,46.0,0.0,3571.0,0.0,0.0,7.0,1,0245,0.4443485763589301,2
230,33.0,0.0,86.0,796.0,584.0,10912.0,0,0245,0.5619956351824595,2
231,21.0,2947.0,0.0,287.0,27.0,0.0,0,0246,0.503666427030913,1
232,33.0,0.0,1.0,0.0,8620.0,1063.0,0,0248,0.503666427030913,1
233,47.0,0.0,0.0,0.0,0.0,0.0,0,0250,0.503666427030913,1
234,54.0,0.0,0.0,0.0,0.0,0.0,1,0251,0.503666427030913,1
235,30.0,335.0,695.0,541.0,0.0,0.0,0,0252,0.503666427030913,1
236,29.0,272.0,615.0,0.0,0.0,1.0,0,0253,0.5035950532067874,1
237,21.0,702.0,172.0,408.0,2.0,6.0,1,0254,0.5035950532067874,1
238,24.0,0.0,0.0,0.0,0.0,0.0,1,0255,0.5035950532067874,1
239,21.0,1664.0,0.0,0.0,0.0,0.0,0,0257,0.5619956351824595,2
240,60.0,0.0,0.0,0.0,0.0,0.0,1,0257,0.4443485763589301,2
241,22.0,0.0,0.0,313.0,299.0,92.0,0,0258,0.503666427030913,1
242,26.0,0.0,4810.0,0.0,981.0,2054.0,0,0260,0.5035950532067874,1
243,26.0,66.0,29.0,0.0,0.0,803.0,0,0261,0.5035950532067874,1
244,28.0,0.0,0.0,0.0,0.0,0.0,1,0263,0.503666427030913,1
245,39.0,0.0,0.0,0.0,0.0,0.0,1,0265,0.503666427030913,1
246,13.0,118.0,0.0,0.0,754.0,1.0,0,0267,0.503666427030913,1
247,47.0,0.0,231.0,592.0,0.0,0.0,1,0269,0.503666427030913,1
248,63.0,0.0,25.0,128.0,0.0,1240.0,0,0270,0.5035950532067874,1
249,0.0,0.0,0.0,0.0,0.0,0.0,1,0275,0.5035950532067874,1
250,50.0,44.0,2390.0,0.0,53.0,0.0,1,0277,0.5035950532067874,1
251,35.0,0.0,0.0,0.0,888.0,0.0,0,0278,0.4443485763589301,2
252,45.0,0.0,97.0,0.0,14.0,333.0,0,0278,0.4443485763589301,2
253,19.0,0.0,0.0,2078.0,0.0,0.0,1,0281,0.5035950532067874,1
254,21.0,0.0,918.0,0.0,0.0,0.0,1,0282,0.5035950532067874,1
255,29.0,0.0,0.0,0.0,0.0,0.0,1,0283,0.5619956351824595,2
256,22.0,146.0,654.0,1.0,0.0,2.0,1,0283,0.5619956351824595,2
257,14.0,0.0,0.0,0.0,0.0,0.0,1,0285,0.5619956351824595,2
258,42.0,0.0,0.0,0.0,0.0,0.0,1,0285,0.5620586120860998,2
259,57.0,3.0,1281.0,29.0,162.0,13.0,0,0286,0.503666427030913,1
260,39.0,0.0,0.0,0.0,0.0,0.0,1,0287,0.503666427030913,2
261,28.0,0.0,587.0,32.0,6.0,1460.0,0,0287,0.503666427030913,2
262,19.0,0.0,0.0,0.0,0.0,828.0,0,0288,0.503666427030913,1
263,19.0,0.0,0.0,0.0,0.0,0.0,1,0289,0.5035950532067874,1
264,26.0,0.0,4458.0,0.0,1157.0,262.0,1,0290,0.6081013577948322,4
265,17.0,0.0,0.0,0.0,0.0,0.0,1,0290,0.6454760193077951,4
266,43.0,0.0,0.0,0.0,0.0,0.0,1,0290,0.6081013577948322,4
267,9.0,0.0,0.0,0.0,0.0,0.0,1,0290,0.6454250380048482,4
268,40.0,0.0,6500.0,88.0,1090.0,0.0,1,0291,0.503666427030913,1
269,50.0,0.0,0.0,0.0,0.0,0.0,1,0294,0.503666427030913,1
270,24.0,90.0,2.0,1324.0,17.0,0.0,1,0297,0.5035950532067874,1
271,57.0,0.0,0.0,0.0,0.0,0.0,1,0298,0.503666427030913,1
272,16.0,0.0,0.0,0.0,0.0,0.0,0,0301,0.5035950532067874,1
273,23.0,0.0,0.0,15.0,0.0,1370.0,0,0302,0.5035950532067874,1
274,23.0,0.0,0.0,0.0,0.0,0.0,1,0303,0.503666427030913,1
275,28.0,0.0,422.0,0.0,1851.0,5166.0,0,0304,0.5035950532067874,1
276,23.0,0.0,584.0,0.0,20.0,2469.0,0,0305,0.5035950532067874,1
277,23.0,368.0,175.0,259.0,1.0,101.0,0,0306,0.503666427030913,1
278,18.0,0.0,0.0,1359.0,0.0,0.0,1,0307,0.5035950532067874,1
279,18.0,1194.0,0.0,157.0,6.0,0.0,0,0309,0.503666427030913,1
280,67.0,0.0,230.0,0.0,4476.0,241.0,0,0310,0.5035950532067874,1
281,60.0,7.0,540.0,1.0,0.0,4.0,1,0313,0.6454250380048482,4
282,0.0,0.0,0.0,0.0,0.0,0.0,1,0313,0.6454250380048482,4
283,49.0,331.0,0.0,0.0,318.0,0.0,1,0313,0.6081577055507208,4
284,0.0,0.0,0.0,0.0,0.0,0.0,1,0313,0.6081577055507208,4
285,26.0,386.0,0.0,74.0,0.0,1330.0,0,0314,0.5035950532067874,1
286,35.0,0.0,0.0,0.0,0.0,0.0,1,0315,0.5035950532067874,1
287,24.0,0.0,2628.0,0.0,170.0,0.0,1,0316,0.5620586120860998,2
288,20.0,0.0,0.0,0.0,0.0,0.0,1,0316,0.5620586120860998,2
289,18.0,0.0,2.0,0.0,0.0,0.0,0,0320,0.4443485763589301,2
290,21.0,0.0,5.0,3.0,0.0,0.0,0,0320,0.4444115532625703,2
291,59.0,1018.0,0.0,209.0,0.0,0.0,0,0321,0.503666427030913,1
292,13.0,0.0,0.0,0.0,0.0,0.0,0,0322,0.503666427030913,1
293,43.0,0.0,0.0,0.0,0.0,0.0,0,0324,0.5035950532067874,1
294,29.0,0.0,0.0,0.0,0.0,0.0,0,0326,0.5035950532067874,1
295,19.0,17.0,0.0,784.0,0.0,2.0,1,0327,0.5035950532067874,1
296,2.0,0.0,0.0,0.0,0.0,0.0,1,0330,0.5028381999000954,3
297,32.0,247.0,4651.0,0.0,46.0,202.0,1,0330,0.5620586120860998,3
298,33.0,443.0,317.0,0.0,148.0,1260.0,0,0330,0.5620586120860998,3
299,25.0,0.0,0.0,251.0,0.0,552.0,0,0331,0.5035950532067874,1
300,29.0,0.0,0.0,0.0,0.0,0.0,1,0333,0.5035950532067874,1
301,29.0,5715.0,2.0,211.0,1476.0,0.0,0,0334,0.5035950532067874,1
302,44.0,695.0,1.0,16.0,0.0,0.0,0,0336,0.503666427030913,1
303,2.0,0.0,0.0,0.0,0.0,0.0,1,0337,0.5619956351824595,3
304,19.0,417.0,349.0,634.0,3.0,1057.0,1,0337,0.5619956351824595,3
305,0.0,0.0,0.0,0.0,0.0,0.0,1,0337,0.6081013577948322,3
306,18.0,0.0,0.0,0.0,0.0,0.0,1,0338,0.503666427030913,1
307,38.0,0.0,0.0,0.0,0.0,0.0,1,0340,0.5035950532067874,1
308,5.0,0.0,0.0,0.0,0.0,0.0,0,0341,0.5035950532067874,1
309,31.0,121.0,0.0,0.0,274.0,907.0,0,0343,0.5035950532067874,1
310,30.0,0.0,0.0,0.0,0.0,0.0,0,0345,0.5035950532067874,1
311,15.0,0.0,0.0,0.0,0.0,0.0,1,0346,0.5035950532067874,1
312,27.0,434.0,0.0,1434.0,0.0,0.0,0,0347,0.503666427030913,1
313,22.0,142.0,2876.0,202.0,3.0,0.0,1,0348,0.5619956351824595,2
314,36.0,520.0,0.0,1865.0,0.0,0.0,1,0348,0.5619956351824595,2
315,14.0,0.0,0.0,0.0,0.0,0.0,1,0350,0.503666427030913,1
316,23.0,2001.0,0.0,2975.0,0.0,0.0,0,0352,0.5035950532067874,1
317,18.0,0.0,0.0,0.0,0.0,0.0,1,0355,0.503666427030913,1
318,36.0,0.0,0.0,0.0,0.0,0.0,1,0356,0.5035950532067874,1
319,41.0,0.0,1198.0,0.0,124.0,572.0,0,0357,0.5035950532067874,1
320,50.0,0.0,0.0,0.0,0.0,0.0,1,0358,0.5619956351824595,2
321,32.0,0.0,0.0,0.0,0.0,0.0,1,0358,0.5620586120860998,2
322,26.0,148.0,0.0,453.0,0.0,88.0,0,0359,0.503666427030913,1
323,15.0,358.0,212.0,33.0,0.0,112.0,0,0360,0.5035950532067874,1
324,33.0,0.0,36.0,0.0,280.0,417.0,1,0361,0.5035950532067874,1
325,0.0,0.0,0.0,0.0,685.0,21.0,0,0365,0.5035950532067874,1
326,26.0,2832.0,107.0,4447.0,15.0,4.0,0,0368,0.5619956351824595,2
327,61.0,0.0,0.0,0.0,0.0,0.0,1,0368,0.4444115532625703,2
328,24.0,0.0,0.0,592.0,177.0,58.0,1,0369,0.503666427030913,1
329,30.0,0.0,95.0,0.0,441.0,1023.0,0,0370,0.503666427030913,1
